Case ID,Complete Timestamp,Complete Timestamp,Activity,Resource,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 992,2010/8/11 12:32:00,2010/8/11 12:32:00,Assign seriousness,Value 12,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 992,2010/9/2 8:04:00,2010/9/2 8:04:00,Take in charge ticket,Value 2,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 992,2010/9/2 8:05:00,2010/9/2 8:05:00,Resolve ticket,Value 2,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 992,2010/9/17 8:05:00,2010/9/17 8:05:00,Closed,Value 5,Value 1,Value 13,Value 3,Value 4,Value 2,Value 3,Value 1,Value 1,Value 1
Case 993,2011/3/14 11:11:00,2011/3/14 11:11:00,Assign seriousness,Value 8,Value 1,Value 213,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 993,2011/3/14 11:15:00,2011/3/14 11:15:00,Take in charge ticket,Value 8,Value 1,Value 213,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 993,2011/3/28 8:41:00,2011/3/28 8:41:00,Wait,Value 2,Value 1,Value 213,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 993,2011/3/30 10:22:00,2011/3/30 10:22:00,Take in charge ticket,Value 2,Value 1,Value 213,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 993,2011/3/30 10:22:00,2011/3/30 10:22:00,Resolve ticket,Value 2,Value 1,Value 213,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 993,2011/4/16 13:00:00,2011/4/16 13:00:00,Closed,Value 5,Value 1,Value 213,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 994,2011/2/7 16:49:00,2011/2/7 16:49:00,Assign seriousness,Value 9,Value 1,Value 171,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 994,2011/2/8 16:04:00,2011/2/8 16:04:00,Take in charge ticket,Value 8,Value 1,Value 171,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 994,2011/2/18 14:37:00,2011/2/18 14:37:00,Resolve ticket,Value 2,Value 1,Value 171,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 994,2011/4/2 14:15:00,2011/4/2 14:15:00,Closed,Value 5,Value 1,Value 171,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 995,2011/5/25 8:48:00,2011/5/25 8:48:00,Assign seriousness,Value 8,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 995,2011/5/25 8:49:00,2011/5/25 8:49:00,Take in charge ticket,Value 8,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 995,2011/5/26 9:53:00,2011/5/26 9:53:00,Wait,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 995,2011/7/1 8:04:00,2011/7/1 8:04:00,Take in charge ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 995,2011/7/1 8:14:00,2011/7/1 8:14:00,Resolve ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 995,2011/7/16 8:14:00,2011/7/16 8:14:00,Closed,Value 5,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 996,2010/12/23 13:51:00,2010/12/23 13:51:00,Assign seriousness,Value 8,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 996,2010/12/27 8:09:00,2010/12/27 8:09:00,Take in charge ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 996,2011/1/14 9:31:00,2011/1/14 9:31:00,Resolve ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 996,2011/1/29 9:32:00,2011/1/29 9:32:00,Closed,Value 5,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 997,2011/11/18 13:35:00,2011/11/18 13:35:00,Assign seriousness,Value 1,Value 1,Value 233,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 997,2011/11/21 13:25:00,2011/11/21 13:25:00,Take in charge ticket,Value 13,Value 1,Value 233,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 997,2011/11/28 15:39:00,2011/11/28 15:39:00,Resolve ticket,Value 13,Value 1,Value 233,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 997,2011/12/21 13:40:00,2011/12/21 13:40:00,Closed,Value 5,Value 1,Value 233,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 998,2012/11/30 11:57:00,2012/11/30 11:57:00,Assign seriousness,Value 9,Value 1,Value 62,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 998,2012/11/30 11:57:00,2012/11/30 11:57:00,Take in charge ticket,Value 2,Value 1,Value 62,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 998,2012/12/4 9:55:00,2012/12/4 9:55:00,Wait,Value 9,Value 1,Value 62,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 998,2012/12/20 16:51:00,2012/12/20 16:51:00,Resolve ticket,Value 9,Value 1,Value 62,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 998,2013/1/4 16:51:00,2013/1/4 16:51:00,Closed,Value 3,Value 1,Value 62,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 999,2013/2/12 16:06:00,2013/2/12 16:06:00,Assign seriousness,Value 1,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 4
Case 999,2013/2/25 11:37:00,2013/2/25 11:37:00,Take in charge ticket,Value 12,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 4
Case 999,2013/3/14 16:24:00,2013/3/14 16:24:00,Resolve ticket,Value 12,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 4
Case 999,2013/3/29 16:24:00,2013/3/29 16:24:00,Closed,Value 3,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 4
Case 1000,2010/1/21 8:53:00,2010/1/21 8:53:00,Assign seriousness,Value 2,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,2010/1/21 8:53:00,2010/1/21 8:53:00,Assign seriousness,Value 2,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,2010/1/21 8:53:00,2010/1/21 8:53:00,Take in charge ticket,Value 2,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,2010/1/26 14:06:00,2010/1/26 14:06:00,Resolve ticket,Value 2,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,2010/3/6 9:00:00,2010/3/6 9:00:00,Closed,Value 5,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1001,2013/3/8 17:01:00,2013/3/8 17:01:00,Assign seriousness,Value 4,Value 1,Value 239,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1001,2013/3/25 8:08:00,2013/3/25 8:08:00,Take in charge ticket,Value 4,Value 1,Value 239,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1001,2013/3/28 10:31:00,2013/3/28 10:31:00,Resolve ticket,Value 4,Value 1,Value 239,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1001,2013/4/12 9:31:00,2013/4/12 9:31:00,Closed,Value 3,Value 1,Value 239,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,2010/8/25 10:36:00,2010/8/25 10:36:00,Assign seriousness,Value 19,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,2010/8/27 7:34:00,2010/8/27 7:34:00,Take in charge ticket,Value 2,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,2010/8/27 8:42:00,2010/8/27 8:42:00,Resolve ticket,Value 2,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1002,2010/9/25 10:40:00,2010/9/25 10:40:00,Closed,Value 5,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1003,2010/12/23 11:23:00,2010/12/23 11:23:00,Assign seriousness,Value 8,Value 1,Value 20,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1003,2011/1/11 7:55:00,2011/1/11 7:55:00,Take in charge ticket,Value 2,Value 1,Value 20,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1003,2011/1/20 10:59:00,2011/1/20 10:59:00,Resolve ticket,Value 2,Value 1,Value 20,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1003,2011/2/4 10:59:00,2011/2/4 10:59:00,Closed,Value 5,Value 1,Value 20,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1004,2011/9/21 7:09:00,2011/9/21 7:09:00,Assign seriousness,Value 1,Value 1,Value 27,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,2011/9/26 8:52:00,2011/9/26 8:52:00,Take in charge ticket,Value 9,Value 1,Value 27,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,2011/9/27 10:29:00,2011/9/27 10:29:00,Resolve ticket,Value 9,Value 1,Value 27,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1004,2011/10/22 7:10:00,2011/10/22 7:10:00,Closed,Value 5,Value 1,Value 27,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1005,2010/12/22 8:35:00,2010/12/22 8:35:00,Assign seriousness,Value 8,Value 1,Value 83,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1005,2010/12/22 8:49:00,2010/12/22 8:49:00,Take in charge ticket,Value 2,Value 1,Value 83,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1005,2011/1/13 14:26:00,2011/1/13 14:26:00,Resolve ticket,Value 2,Value 1,Value 83,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1005,2011/2/18 8:40:00,2011/2/18 8:40:00,Closed,Value 5,Value 1,Value 83,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1006,2010/1/22 11:09:00,2010/1/22 11:09:00,Assign seriousness,Value 2,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1006,2010/1/22 11:09:00,2010/1/22 11:09:00,Take in charge ticket,Value 2,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1006,2010/1/22 11:09:00,2010/1/22 11:09:00,Resolve ticket,Value 2,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1006,2010/3/11 11:10:00,2010/3/11 11:10:00,Closed,Value 5,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1007,2012/10/10 10:47:00,2012/10/10 10:47:00,Assign seriousness,Value 1,Value 1,Value 256,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,2012/10/25 10:23:00,2012/10/25 10:23:00,Take in charge ticket,Value 9,Value 1,Value 256,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,2012/11/12 8:37:00,2012/11/12 8:37:00,Resolve ticket,Value 12,Value 1,Value 256,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1007,2012/11/27 8:37:00,2012/11/27 8:37:00,Closed,Value 3,Value 1,Value 256,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case 1008,2011/10/25 14:35:00,2011/10/25 14:35:00,Assign seriousness,Value 4,Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1008,2011/10/26 7:19:00,2011/10/26 7:19:00,Take in charge ticket,Value 16,Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1008,2011/11/3 9:37:00,2011/11/3 9:37:00,Resolve ticket,Value 16,Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1008,2011/12/8 15:40:00,2011/12/8 15:40:00,Closed,Value 5,Value 1,Value 96,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1009,2012/5/18 12:11:00,2012/5/18 12:11:00,Assign seriousness,Value 1,Value 1,Value 26,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,2012/5/18 14:23:00,2012/5/18 14:23:00,Take in charge ticket,Value 9,Value 1,Value 26,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,2012/5/18 15:07:00,2012/5/18 15:07:00,Wait,Value 9,Value 1,Value 26,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,2012/5/22 7:53:00,2012/5/22 7:53:00,Resolve ticket,Value 9,Value 1,Value 26,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1009,2012/6/28 14:10:00,2012/6/28 14:10:00,Closed,Value 5,Value 1,Value 26,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1010,2013/6/21 7:11:00,2013/6/21 7:11:00,Assign seriousness,Value 14,Value 1,Value 177,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1010,2013/6/24 10:06:00,2013/6/24 10:06:00,Take in charge ticket,Value 2,Value 1,Value 177,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1010,2013/6/28 10:12:00,2013/6/28 10:12:00,Require upgrade,Value 1,Value 1,Value 177,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1010,2013/7/17 15:38:00,2013/7/17 15:38:00,Resolve ticket,Value 1,Value 1,Value 177,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1010,2013/8/1 15:39:00,2013/8/1 15:39:00,Closed,Value 3,Value 1,Value 177,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1011,2011/9/6 15:37:00,2011/9/6 15:37:00,Insert ticket,Value 15,Value 1,Value 163,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,2011/9/6 15:44:00,2011/9/6 15:44:00,Assign seriousness,Value 15,Value 1,Value 163,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,2011/9/6 15:44:00,2011/9/6 15:44:00,Take in charge ticket,Value 15,Value 1,Value 163,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,2011/9/6 15:55:00,2011/9/6 15:55:00,Resolve ticket,Value 15,Value 1,Value 163,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1011,2011/10/22 15:40:00,2011/10/22 15:40:00,Closed,Value 5,Value 1,Value 163,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,2010/5/25 15:14:00,2010/5/25 15:14:00,Assign seriousness,Value 2,Value 1,Value 182,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,2010/5/28 15:38:00,2010/5/28 15:38:00,Take in charge ticket,Value 2,Value 1,Value 182,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,2010/5/28 15:38:00,2010/5/28 15:38:00,Resolve ticket,Value 2,Value 1,Value 182,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1012,2010/6/26 15:20:00,2010/6/26 15:20:00,Closed,Value 5,Value 1,Value 182,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1013,2011/11/30 16:32:00,2011/11/30 16:32:00,Assign seriousness,Value 1,Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1013,2011/12/12 16:50:00,2011/12/12 16:50:00,Resolve ticket,Value 9,Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1013,2012/1/13 16:40:00,2012/1/13 16:40:00,Closed,Value 5,Value 1,Value 18,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1014,2010/12/28 10:41:00,2010/12/28 10:41:00,Assign seriousness,Value 8,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1014,2010/12/30 8:50:00,2010/12/30 8:50:00,Take in charge ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1014,2010/12/30 8:51:00,2010/12/30 8:51:00,Wait,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1014,2011/1/13 16:53:00,2011/1/13 16:53:00,Take in charge ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1014,2011/1/13 16:55:00,2011/1/13 16:55:00,Resolve ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1014,2011/1/28 16:55:00,2011/1/28 16:55:00,Closed,Value 5,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1015,2012/2/10 14:44:00,2012/2/10 14:44:00,Assign seriousness,Value 1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,2012/2/10 15:48:00,2012/2/10 15:48:00,Take in charge ticket,Value 2,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,2012/2/15 11:07:00,2012/2/15 11:07:00,Resolve ticket,Value 2,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1015,2012/3/14 14:50:00,2012/3/14 14:50:00,Closed,Value 5,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1016,2011/4/13 7:43:00,2011/4/13 7:43:00,Assign seriousness,Value 8,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1016,2011/4/13 7:45:00,2011/4/13 7:45:00,Take in charge ticket,Value 8,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1016,2011/4/13 14:57:00,2011/4/13 14:57:00,Resolve ticket,Value 16,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1016,2011/6/11 7:50:00,2011/6/11 7:50:00,Closed,Value 5,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1017,2012/9/7 12:24:00,2012/9/7 12:24:00,Assign seriousness,Value 1,Value 1,Value 104,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,2012/9/10 9:51:00,2012/9/10 9:51:00,Take in charge ticket,Value 3,Value 1,Value 104,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,2012/9/17 9:56:00,2012/9/17 9:56:00,Wait,Value 4,Value 1,Value 104,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,2012/10/2 7:03:00,2012/10/2 7:03:00,Resolve ticket,Value 4,Value 1,Value 104,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,2012/10/2 7:03:00,2012/10/2 7:03:00,Resolve ticket,Value 4,Value 1,Value 104,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1017,2012/10/17 7:03:00,2012/10/17 7:03:00,Closed,Value 3,Value 1,Value 104,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1018,2010/9/16 9:03:00,2010/9/16 9:03:00,Assign seriousness,Value 14,Value 1,Value 10,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case 1018,2010/9/16 9:48:00,2010/9/16 9:48:00,Take in charge ticket,Value 14,Value 1,Value 10,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case 1018,2010/9/21 8:24:00,2010/9/21 8:24:00,Resolve ticket,Value 2,Value 1,Value 10,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case 1018,2010/11/5 9:24:00,2010/11/5 9:24:00,Closed,Value 5,Value 1,Value 10,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case 1019,2013/2/14 15:35:00,2013/2/14 15:35:00,Assign seriousness,Value 1,Value 1,Value 257,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1019,2013/3/4 8:12:00,2013/3/4 8:12:00,Take in charge ticket,Value 2,Value 1,Value 257,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1019,2013/3/4 8:33:00,2013/3/4 8:33:00,Wait,Value 1,Value 1,Value 257,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1019,2013/3/4 10:43:00,2013/3/4 10:43:00,Resolve ticket,Value 1,Value 1,Value 257,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1019,2013/3/19 10:43:00,2013/3/19 10:43:00,Closed,Value 3,Value 1,Value 257,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,2012/5/15 8:09:00,2012/5/15 8:09:00,Assign seriousness,Value 4,Value 1,Value 220,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,2012/5/15 8:09:00,2012/5/15 8:09:00,Take in charge ticket,Value 4,Value 1,Value 220,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,2012/5/28 15:21:00,2012/5/28 15:21:00,Wait,Value 4,Value 1,Value 220,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,2012/6/4 10:49:00,2012/6/4 10:49:00,Resolve ticket,Value 4,Value 1,Value 220,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1020,2012/7/6 13:30:00,2012/7/6 13:30:00,Closed,Value 5,Value 1,Value 220,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1021,2010/5/18 14:59:00,2010/5/18 14:59:00,Assign seriousness,Value 6,Value 1,Value 5,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,2010/5/19 8:08:00,2010/5/19 8:08:00,Take in charge ticket,Value 2,Value 1,Value 5,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,2010/5/20 10:17:00,2010/5/20 10:17:00,Resolve ticket,Value 2,Value 1,Value 5,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1021,2010/6/25 15:01:00,2010/6/25 15:01:00,Closed,Value 5,Value 1,Value 5,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1022,2012/1/5 16:55:00,2012/1/5 16:55:00,Assign seriousness,Value 1,Value 1,Value 167,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1022,2012/1/5 16:55:00,2012/1/5 16:55:00,Assign seriousness,Value 1,Value 1,Value 167,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1022,2012/1/11 11:59:00,2012/1/11 11:59:00,Take in charge ticket,Value 2,Value 1,Value 167,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1022,2012/1/12 10:39:00,2012/1/12 10:39:00,Resolve ticket,Value 2,Value 1,Value 167,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1022,2012/2/7 17:00:00,2012/2/7 17:00:00,Closed,Value 5,Value 1,Value 167,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1023,2013/3/12 9:39:00,2013/3/12 9:39:00,Assign seriousness,Value 1,Value 1,Value 237,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1023,2013/3/28 13:14:00,2013/3/28 13:14:00,Resolve ticket,Value 2,Value 1,Value 237,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1023,2013/3/28 13:14:00,2013/3/28 13:14:00,Resolve ticket,Value 2,Value 1,Value 237,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1023,2013/4/12 12:15:00,2013/4/12 12:15:00,Closed,Value 3,Value 1,Value 237,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1024,2011/7/14 7:22:00,2011/7/14 7:22:00,Assign seriousness,Value 13,Value 1,Value 75,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1024,2011/7/15 10:40:00,2011/7/15 10:40:00,Assign seriousness,Value 15,Value 1,Value 75,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1024,2011/7/15 12:44:00,2011/7/15 12:44:00,Take in charge ticket,Value 15,Value 1,Value 75,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1024,2011/7/18 8:33:00,2011/7/18 8:33:00,Resolve ticket,Value 15,Value 1,Value 75,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1024,2011/8/20 7:31:00,2011/8/20 7:31:00,Closed,Value 5,Value 1,Value 75,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1025,2011/3/18 9:41:00,2011/3/18 9:41:00,Assign seriousness,Value 8,Value 1,Value 241,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1025,2011/3/18 9:42:00,2011/3/18 9:42:00,Take in charge ticket,Value 8,Value 1,Value 241,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1025,2011/3/25 14:24:00,2011/3/25 14:24:00,Wait,Value 2,Value 1,Value 241,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1025,2011/4/20 15:42:00,2011/4/20 15:42:00,Take in charge ticket,Value 2,Value 1,Value 241,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1025,2011/4/20 15:42:00,2011/4/20 15:42:00,Resolve ticket,Value 2,Value 1,Value 241,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1025,2011/5/5 15:42:00,2011/5/5 15:42:00,Closed,Value 5,Value 1,Value 241,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1026,2013/5/13 15:56:00,2013/5/13 15:56:00,Assign seriousness,Value 14,Value 1,Value 104,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 1026,2013/5/20 8:37:00,2013/5/20 8:37:00,Take in charge ticket,Value 2,Value 1,Value 104,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
